table_id,caption,printed_pages,pdf_pages_1based,evidence_files,authority,status
2.1,Inventario de estaciones meteorológicas IDEAM agrupadas por zona analítica.,30-31,38-39,08_TABLES/canonical_thesis_evidence/Table_2_1/page_printed_030.png | 08_TABLES/canonical_thesis_evidence/Table_2_1/page_printed_031.png | 08_TABLES/canonical_thesis_evidence/Table_2_1/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
2.2,"Criterios de preprocesamiento, control físico y construcción de variables.",35,43,08_TABLES/canonical_thesis_evidence/Table_2_2/page_printed_035.png | 08_TABLES/canonical_thesis_evidence/Table_2_2/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
2.3,Resumen descriptivo de la velocidad del viento y la densidad de potencia eólica por zona analítica.,38,46,08_TABLES/canonical_thesis_evidence/Table_2_3/page_printed_038.png | 08_TABLES/canonical_thesis_evidence/Table_2_3/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
2.4,Parámetros Weibull/Rayleigh y métricas de ajuste de la velocidad del viento por zona analítica.,42,50,08_TABLES/canonical_thesis_evidence/Table_2_4/page_printed_042.png | 08_TABLES/canonical_thesis_evidence/Table_2_4/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
3.1,Diseño experimental general del modelado predictivo de WPD.,64,72,08_TABLES/canonical_thesis_evidence/Table_3_1/page_printed_064.png | 08_TABLES/canonical_thesis_evidence/Table_3_1/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
3.2,Modelos evaluados y justificación metodológica dentro del Capítulo 3.,68-69,76-77,08_TABLES/canonical_thesis_evidence/Table_3_2/page_printed_068.png | 08_TABLES/canonical_thesis_evidence/Table_3_2/page_printed_069.png | 08_TABLES/canonical_thesis_evidence/Table_3_2/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
3.3,Lectura físico-operacional de las familias de modelos evaluadas.,69-70,77-78,08_TABLES/canonical_thesis_evidence/Table_3_3/page_printed_069.png | 08_TABLES/canonical_thesis_evidence/Table_3_3/page_printed_070.png | 08_TABLES/canonical_thesis_evidence/Table_3_3/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
3.4,Métricas deterministas utilizadas para evaluar el desempeño predictivo de WPD.,75,83,08_TABLES/canonical_thesis_evidence/Table_3_4/page_printed_075.png | 08_TABLES/canonical_thesis_evidence/Table_3_4/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
3.5,Síntesis comparativa de familias de modelos para WPD.,77,85,08_TABLES/canonical_thesis_evidence/Table_3_5/page_printed_077.png | 08_TABLES/canonical_thesis_evidence/Table_3_5/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
3.6,Modelos candidatos ganadores por zona y horizonte para WPD en la etapa comparativa aprobada.,78,86,08_TABLES/canonical_thesis_evidence/Table_3_6/page_printed_078.png | 08_TABLES/canonical_thesis_evidence/Table_3_6/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
3.7,Relación entre modelos candidatos aprobados y modelo final TDQ-PIESS/KFAS.,79-80,87-88,08_TABLES/canonical_thesis_evidence/Table_3_7/page_printed_079.png | 08_TABLES/canonical_thesis_evidence/Table_3_7/page_printed_080.png | 08_TABLES/canonical_thesis_evidence/Table_3_7/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
3.8,Desempeño determinista del modelo final TDQ-PIESS/KFAS frente a persistencia para WPD.,81,89,08_TABLES/canonical_thesis_evidence/Table_3_8/page_printed_081.png | 08_TABLES/canonical_thesis_evidence/Table_3_8/page_layout_text.txt,corrected_thesis_pdf,canonical_page_evidence
